Sonnet,Line,SH_value_m,SL_value_m,SH_value_v,SL_value_v,SH_value_r,SL_value_r
39,6,0,0.850712501,0.041195153,0,0,0
39,7,0,0,0,0.000311809,0,0
39,8,0.050987708,0,0,0.81735708,0,0
39,9,0,0.212678125,0,0.817668889,0,0.762590694
39,10,0.050987708,0,0,0,0,0.03805455
39,11,0.101975417,0,0.475697354,0,0.50677972,0
39,12,0.152963125,0,0,0,0,0.025835552
39,13,0,0,0,0.000311809,0,0
39,14,0.050987708,0,0,0,0,0
40,1,0,0,0,0,0,0
40,2,0,0,0,0,0,0
40,3,0,0,0.377276638,0,0,0
40,4,0,0,0,0,0,0
40,5,0,0,0.244573684,0,0.34668761,0
40,6,0,0,0.292767052,0,0.828847748,0
40,7,0,0,0,0.239846231,0,0.346623566
40,8,0,0,0,0,0,0
40,9,1.157277487,0,0,0,0,0
40,10,0,0,0,0.451936972,0,0.385523039
40,11,0,0,0,0,0,0
40,12,0,0,0,0.371212128,0,0
40,13,0,0,0,0,0,0
40,14,1.157277487,0,0,0.326420702,0,0.464959129
41,1,0,0,0,0,0,0
41,2,0,0,0,0,0,0
41,3,0,0,0.078007143,0,0.928808785,0
41,4,0.914854216,0,0,0,0,0
41,5,1.829708431,0,0.213408332,0,0.218706492,0
41,6,2.744562647,0,0,0,0,0
41,7,1.222329679,0,0,0,0,0
41,8,0,0,0,0,0,0
41,9,0,0,0,0,0,0
41,10,0,0,0,0,0,0
41,11,0,0,0,1.018622931,0,0.344491399
41,12,0,0,0,1.109723278,0,0.067349007
41,13,0,0,0,0,0.462695677,0
41,14,0,0,0,0,0,0.014849238
42,1,0,0,0,0,0,0
42,2,0.162755348,0,0.194778455,0,0.44779259,0
42,3,0,0.341640786,0,0,0,0
42,4,0,0.683281573,0,0,0,0.217705776
42,5,0.162755348,0,0,0,0,0
42,6,0.325510697,0,0.378332974,0,0,0
42,7,0,0,0,0.955656682,0,0.304841309
42,8,0,0,0,0,0,0
42,9,0,0,0,0,0,0
42,10,0,0,0,0,0,0.494423525
42,11,0,0.341640786,0,0.375860964,0,0
42,12,0,0,0,0,0,0
42,13,0.162755348,0,0.45061578,0,0.634354341,0
42,14,0.325510697,0,0,0,1.203472625,0
43,1,0,0,0,0,0,0
43,2,0,0,0,0,0,0.725885171
43,3,0,0,0,0,0,0.495138927
43,4,0,0,0.109184028,0,0,0.092657181
43,5,0,0,0,0,0,0
43,6,0,0,0,0,0,0
43,7,0,0,0,0,1.069612257,0
43,8,0,0,0,0,0.907007647,0
43,9,0,0,0,0,0.531338678,0
43,10,0,0,0,0,0,0
43,11,0,0,0,1.44625215,0,0.338168115
43,12,0,0,0,1.182921747,0,0
43,13,0,1.523573073,0,0.919591345,0,0
43,14,0,0,0.057785848,0,0.039414821,0
44,1,0,0,0,0,0,0
44,2,0.249390095,0,0.361107236,0,0,0.35461018
44,3,0.49878019,0,0,0,0.681058677,0
44,4,0.748170285,0,0,0,0.348650128,0
44,5,0,0,0,0,0,0
44,6,0,0,0,0,0,0
44,7,0.249390095,0,0,0,0.577942811,0
44,8,0.49878019,0,0,0,0,0
44,9,0,0,0,1.038332058,0,0.655292538
44,10,0,0,0,0,0,0
44,11,0,0,0,0,0,0
44,12,0,0,0,0,0,0
44,13,0,0,0,0,0,0
44,14,0,0,0,1.138565771,0,0.475714354
45,1,0,0,0,0,0,0
45,2,0,0,0,0,0.318497301,0
45,3,0,0,0,0,0,0
45,4,0,0,0,0,0,0
45,5,0,0,0,0,0,0
45,6,0,0,0.396585727,0,0.397733949,0
45,7,0,0.45999279,0,0,0,0
45,8,0,0.91998558,0,1.360091701,0,0.996112441
45,9,0,0,0,0.549182861,0,0
45,10,0,0,0,0,0,0
45,11,0,0,0.061474864,0,0,0
45,12,0,0,0,0,0,0
45,13,0,0.45999279,0.198656205,0,0,0
45,14,0,0.91998558,0,0,0,1.155259111
46,1,0,0,0,0,0,0
46,2,0,0.162755348,0,0,0,0
46,3,0,0.325510697,0,0,0,0
46,4,0,0.488266045,0.489886705,0,0.089789823,0
46,5,0,0,0,0,0,0
46,6,0.341640786,0,0,0,0,0
46,7,0,0.162755348,0,0.506801509,0,0
46,8,0.341640786,0,0,0.075254258,0,0.246429502
46,9,0,0,0,0,0,0.450660682
46,10,0,0,0,0,0,0
46,11,0,0,0.010621106,0,0,0
46,12,0,0,0.500507811,0,0.486756024,0
46,13,0.341640786,0,0,0,0,0
46,14,0.683281573,0,0.489886705,0,1.245159717,0
47,1,0,0,0,0,0,0
47,2,0,0,0,0,0,0
47,3,0,1.449489743,0,0,0,1.123373479
47,4,0,2.898979486,0,0,0,0.463339667
47,5,0,1.490731195,0,0,0.376014427,0
47,6,0,0.082482905,0,0,0,0
47,7,0,0,0,0,0,0
47,8,0,0,0.891760986,0,0,0
47,9,0,0,1.408846388,0,0,0
47,10,0,0,0,0,0,0
47,11,0,0,0,0.557099756,0,0
47,12,0,0,0,0.13879078,0,0
47,13,0,0,0,0,0,0
47,14,0,0,0.39351166,0,1.075161594,0
48,1,0,0,0,0,0,0
48,2,0.050987708,0,0,0,0,0
48,3,0.101975417,0,0,0,0,0
48,4,0.152963125,0,0,0,0,0.13621156
48,5,0.203950834,0,0,0,0,0
48,6,0,0.212678125,0,0,0,0
48,7,0.050987708,0,0.229413269,0,1.207079845,0
48,8,0,0.212678125,0,0.971005838,0,0.834481108
48,9,0,0,0,0.760584185,0,0.268076087
